Person,Work,Work (Drepung),No of folios,No of folios (Drepung),TibSchol Ref #,Drepung Cat #,BDRC #,Author,Author (Drepung),Scribe,Script (Drepung),Place,Topic,Topic (Drepung),Topic signature),Bundle (Drepung),Bundle signature,Folio size,Notes
bSod snyom pa Rin chen rgyal mtshan,-,gSang 'dus khrid la nyer mkha'i zin bris,-,9,-,7102,,-,bSod snyom pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,128,-,42 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Chos skyong rgyal chen rnam thos sras kyi bsgrub thabs dang | gtor chog,-,9,-,20928,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,mwa,-,45,-,48 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,rDo rje 'jigs byed kyi rnal 'byor bzhi'i nyams len gyi dbu'o,-,3,-,17932,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,la,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,rDo rje 'jigs byed kyi rnal 'byor bzhi'i nyams len gyi dbu'o,-,108,-,17933,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,la,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,dBang blang ba'i sdom tshig,-,4,-,13640,,-,bSod snyoms pa Rin chen rgyal mtshan,,bris ma dbu can,,,ma,-,1025,-,47 x 6,
bSod snyom pa Rin chen rgyal mtshan,-,rDo rje gsum gyi bsnyen bsgrub gsal bar byed pa'i sgron me,-,79,-,11111,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,660,-,36 x 7.8,
bSod snyom pa Rin chen rgyal mtshan,-,Rigs lnga'i sdom pa bzung ba'i tshig gi 'grel pa dam tshig gi chu rgyun,-,3,-,11085,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,659,-,42 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Bla ma lnga bcu pa'i 'grel rdo rje theg pa'i gzhung lam byin rlabs gyi 'jug ngogs,-,17,-,11086,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,659,-,42 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Srid pa bar do'i gnas lugs gsal byed sgron me ,-,8,-,11087,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,659,-,42 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,bsGom bzlas 'gal 'du spong ba,-,1,-,11088,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,659,-,47 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,mTshan brjod 'grel pa'i mchod brjod bshad pa,-,7,-,10957,,-,bSod snyoms pa dge slong Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,646,-,41 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Phags pa 'jam dpal yon tan ye shes bzang po'i sgrub thabs,-,3,-,9817,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,438,-,41 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Shin tu spros med kyi 'khrid yig,-,14,-,9818,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,438,-,41 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Phags ma gdungs dkar gyi bsrung 'khor dang rgyal mtshan bya ba'o,-,6,-,9819,,-,Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,438,-,41 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Phags pa rtogs pa chen po'i cho ga legs par bshad pa'i snang ba,-,17,-,9820,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,438,-,41 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Rigs lnga'i sdom pa bzungs ba'i tshig gi 'grel pa dam tshig gi chu rgyun don gsal zhing go bde bar bdag go,-,5,-,9821,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,438,-,41 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,bDe mchog gi bskyed rdzogs zung 'jug gi nyams su len tshul,-,3,-,9822,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,438,-,41 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,rDo rje phag mo'i gzhung drug gi bla ma brgyud pa'i rnam thar,-,9,-,9823,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,438,-,41 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,gZhung drug gi mngon rtogs,-,17,-,9824,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,438,-,41 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Phag mo gzhung drug gi slob ma rjes 'dzin gyi cho ga,-,7,-,9825,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,438,-,41 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,gZhung drug gi 'khrid yig,-,33,-,9826,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,438,-,41 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,gZhung drug gi zhal gdams sna tshogs ,-,15,-,9827,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,438,-,41 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Phags ma rmi lam sgrol ma'i gdams pa,-,3,-,9828,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,438,-,41 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,rGyu rkyen 'bras bu dang bcas pa'i rnam gzhag nyung ngu rnam gsal,-,4,-,9829,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,438,-,41 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,rTen 'brel skor,-,15,-,9830,,-,Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,438,-,41 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,dPal rdo rje 'jigs byed lha bcu gsum gyi dkyil 'khor du bde bar 'jug pa'i dbang gi chu bo,-,19,-,9831,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,438,-,41 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Pad ma'i rigs kyi lha gsum dril nas sgrub pa'i thabs,-,4,-,9832,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,438,-,41 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,sMon lam rin po che'I phreng ba,-,10,-,9833,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,438,-,41 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Lha mo gdugs dkar can gyi gtor bzlog dang legs ldan gyi gtor chog rgyas pa,-,12,-,9734,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,418,-,53 x 9,
bSod snyom pa Rin chen rgyal mtshan,-,Thugs rje chen po zhal gcig phyag bzhi pa'i sgrub thabs sgom bzlas dang sbyor gnas skabs kyi lam 'khyer dang bcas pa'i dbu'o,-,2,-,8556,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,364,-,44.1 x 6,
bSod snyom pa Rin chen rgyal mtshan,-,Phags ma sgol ma lha btsun gyi dkyil 'khor la bstod pa,-,3,-,7564,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,203,-,43 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Na+' ro mka' spyod la ka kha dang sbyar ba'i bstod pa'o,-,5,-,7064,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,126,-,42 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,mKha'i spyod ma'i bla ma brgyud pa'i gsol 'debs,-,2,-,7065,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,126,-,42 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Phag mo shes rab gsal byed kyi bstod pa,-,2,-,7066,,-,bSod snyoms Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,126,-,42 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,dPal rdo rje 'jigs byed lha bcu gsum gyi dkyil 'khor du bde bar 'jug pa'i dbang chu bo,-,22,-,6641,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,ma,-,88,-,43 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Nang chen kun dga' 'phags pa'i zhus lan gyi dbu phyogs so,-,2,-,6446,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,dPon nam mkha' bzang po'i zhu yig gi lan gyi dbu'o,-,3,-,6447,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Bras bu dang bcas pa'i lam gyi zin bris legs par bzhugs pa'i dbu phyogs so,-,13,-,6451,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,bsNgo ba'i phan yon bzhad pa dang smon lam gyi phan yon bzhugs pa'i dbus phyogs so,-,12,-,6452,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Phags pa mi g.yo ba dkar po'i bstod pa rnam dag blo gros kyi bang mdzod tshangs pa'i mgul rgyan gyi dbu'o,-,4,-,6453,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,rTen 'brel gsal ba'i me long bzhugs pa'i dbu phyogs so,-,4,-,6433,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Theg pa chen po'i chos mdo rgyud kun gyi don yar ldan du rnal 'byor pa'i rgyud la tshang bar len pa'i dbu,-,4,-,6434,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Phyag chen lha sgom spyod 'bras gzhi lam 'bras bu rnams kyi ngos 'dzin mdor bsdus,-,5,-,6436,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Grub mtha' gsal ba'i sgron me bzhugs pa'i dbu phyogs so,-,10,-,6437,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,dPal ldan sa skya pa'i tsa cha'i zhus lan bzhugs pa'i dbu'o,-,2,-,6439,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Zhus lan gsal ba'i rin chen bzhugs pa'i dbu phyogs su,-,20,-,6440,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,dGe bshes sha+'kya ye shes kyi zhu yig gi lan bzhugs pa'i dbu phyogs so,-,8,-,6441,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,sDe snod 'dzin pa chos rgyal ba'i zhu yig gi lan sogs kyi dbu phyogs so,-,4,-,6443,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,dGe bshes sher bzang la zhal gdams bzhugs pa'i dbu phyogs so,-,2,-,6444,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,sLob dpon tshul rgyal la gdams pa cha gsum snang ba'i dbu phyogs so,-,5,-,6445,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,sDom gsum thar pa'i rab tu byed pa bzhugs pa'i dbu phyogs lags so,-,6,-,6424,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,dGe 'dun gyi zhal lha chos dang mthun par byed tshul gyi dbu phyogs so,-,4,-,6426,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Srid pa bar do'i gnas lugs gsal byed sgron me bzhugs pa'i dbu phyogs lags so,-,10,-,6427,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,rDo rje dbyings kyi zin bris bzhugs pa'i dbu phyogs yin,-,9,-,6429,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,rGyal ba rnams kyi gsung gi gces mdzod 'byed par byed pa'i rten 'brel gnad la 'bebs pa'i legs bshad dbu'o,-,19,-,6432,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Chos rgyal 'phags pa'i bstod pa sogs bzhugs pa'i dbu phyogs lags so,-,3,-,6416,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Bar rdo'i 'phrang sgrol gyi gsol 'debs snying po'i don tshol la sogs bzhugs pa'i dbu phyogs su ,-,4,-,6417,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,gZhal yas khang gi gsal byed nyi ma'i 'od zer bzhugs pa'i phyogs lags so,-,24,-,6418,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,gZhal yas khang gi rnam par dag pa mdor bsdus pa bzhugs pa'I dbu phyogs lags so,-,7,-,6419,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Sangs rgyas kyi dus chen bzhi'i rab tu byed pa bzhugs shing mthar pa'i dbu phyogs lags so ,-,4,-,6420,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,sByor drug gi gsol 'debs bzhugs pa'i dbu phyogs lags so,-,2,-,6414,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Phags pa mi g.yo ba dkar po'i bstod pa rnam dag blo gros kyi bang mdzod tshangs pa'i mgul rgyan gi dbu'o ,-,4,-,6398,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,Same as #6396?
bSod snyom pa Rin chen rgyal mtshan,-,Phags pa mi g.yo ba dkar po'i bstod pa rnam dag blo gros kyi bang mdzod tshangs pa'i mgul rgyan gi dbu'o ,-,4,-,6396,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,Same as #6398?
bSod snyom pa Rin chen rgyal mtshan,-,Mi g.yo ba dkar po'i mngon rtogs bzhugs pa'i dbu phyogs,-,3,-,6395,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,rGyal chen rnam thos sras kyi bstod pa dngos grub nor bu'i bang mdzod kyi dbu'o,-,7,-,6393,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,gSang ba 'dus pa'i khrid yig za ma tog gi lhan thabs phyogs gcig tu bkol ba,-,27,-,6391,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,sGrub pa'i rten 'brel ma'i 'grel pa gdams ngag gi rgyab skyor zab mo'i dbu'o,-,11,-,6380,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,mKha' spyod ma la ka kha dang sbyar ba'i bstod pa dang phag mo bzhung drug gi lha gsum la bstod pa'o,-,4,-,6381,,-,bSod snyom pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,gZhung drug gi khrid yig ngo sprod kyi dbu'o,-,4,-,6374,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Kha rag dgon pa'i yan lag byed dgon pa'i rten gyi dkar chag,-,3,-,6364,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,mGon po 'jam pa'i dbyangs kyi mkhyen rab la bstod pa dbyangs can gi nga ro bzhugs pa'i dbu'o,-,4,-,6371,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Sems nyid ngal gso'i 'khrid yig bzhugs pa'i dbu phyogs,-,17,-,6370,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,bsKal bzang 'dren pa stong gi bla ma'I mtshan ,-,10,-,6361,,-,bSod snyoms pa Rin chen rgyal mtshan,,bru tsha,,,ma,-,44,-,44 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Khro bo sme brtsegs kyi rjes gnang,-,1,-,5820,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,pa,-,16,-,42 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Mi 'khrugs pa jo bo lugs kyi sgrub dkyil,-,14,-,5801,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,pa,-,16,-,45 x 8,
bSod snyom pa Rin chen rgyal mtshan,-,Shin tu spros med kyi rdzogs rim gyi man ngag zab mo'I bla ma brgyud pa la gsol ba 'debs,-,1,-,5652,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,da,-,64,-,45 x 7,
bSod snyom pa Rin chen rgyal mtshan,-,Shin tu spros med kyi khrid yig,-,10,-,5651,,-,bSod snyoms pa Rin chen rgyal mtshan,,dpe tshugs,,,da,-,64,-,45 x 7,
bSod snyom pa Rin chen rgyal mtshan,-,bCom ldan 'das kun rig cho ga gzhan phan snang ba,-,34,-,6011,,-,Ban d+he bSod snyoms Rin chen rgyal mtshan,,dpe tshugs,,,pa,-,51,-,47 x 7.8,
Bya 'Dul 'dzin brTson 'grus 'bar,-,Dul ba mdo'i 'grel pa dge slong gi rnam 'byed yan,-,92,-,16175,-,-,Bya 'dul 'dzin brtson 'grus 'bar,-,bru tsha,-,-,wa,-,12,-,68 x 9.5,
Byang chub skyabs,-,bSlab btus kyi 'grel pa bsdus pa zhig yin,-,24,-,15836,-,-,Byang chub skyabs,-,bru tsha,-,-,tsha,-,57,-,62 x 10,Stoltz (2020) has identified a Byang chub skyabs as a contemporary of Phya pa - posits this could be the same person
bZad rin mo,-,dBu ma rigs pa'i tshogs kyi rgyan de kho na nyid snang ba,-,34,-,15636,,-,dGe sbyong bzad pa ring mo,,bris ma dbu can,,,tsa,,95,,65 x 10,
dPal ldan seng,-,dBu ma rtsa sher gyi 'grel pa,-,68,-,18069,,-,gSang phu ba dpal ldan seng ge,,dpe tshugs,,,la,,94,,64 x 10,"The author could be (P5424) gSang phu brag nag pa dpal ldan legs dbang, but seems unlikely as he usually goes by 'brag nag pa'"
